,activation,layer_size,hidden_layer_number,learning_rate,epochs,test_accuracy,train_loss,train_loss_std,momentum
0,TanH,256,1,0.400,20,0.883,0.272,1.579,0.100
1,TanH,128,1,0.400,20,0.880,0.176,1.016,0.000
2,TanH,32,1,0.300,20,0.878,0.055,0.309,0.000
3,TanH,128,1,0.300,20,0.878,0.129,0.742,0.000
4,Sigmoid,128,1,0.400,20,0.877,0.082,0.472,0.500
5,TanH,128,1,0.400,20,0.877,0.173,0.994,0.010
6,TanH,32,1,0.400,20,0.877,0.062,0.349,0.000
7,TanH,64,1,0.400,20,0.876,0.115,0.663,0.000
8,TanH,128,1,0.300,20,0.876,0.148,0.859,0.100
9,TanH,256,1,0.400,20,0.876,0.260,1.496,0.010
10,TanH,128,1,0.300,20,0.876,0.138,0.799,0.010
11,TanH,128,1,0.400,20,0.876,0.183,1.065,0.100
12,TanH,256,1,0.300,20,0.876,0.221,1.284,0.100
13,TanH,256,1,0.300,20,0.873,0.195,1.131,0.010
14,TanH,64,1,0.300,20,0.873,0.085,0.490,0.000
15,TanH,128,1,0.100,20,0.872,0.089,0.516,0.500
16,TanH,256,1,0.100,20,0.868,0.135,0.777,0.500
17,Sigmoid,256,1,0.400,20,0.867,0.114,0.664,0.500
18,TanH,32,2,0.300,20,0.865,0.057,0.304,0.000
19,TanH,128,1,0.300,20,0.864,0.258,1.482,0.500
20,TanH,256,1,0.100,20,0.859,0.072,0.406,0.100
21,Sigmoid,128,1,0.300,20,0.857,0.074,0.421,0.500
22,Sigmoid,256,1,0.500,20,0.857,0.095,0.544,0.000
23,TanH,256,1,0.100,20,0.850,0.069,0.388,0.010
24,Sigmoid,32,1,0.500,20,0.848,0.060,0.328,0.000
25,Sigmoid,128,1,0.500,20,0.847,0.068,0.384,0.000
26,Sigmoid,256,1,0.400,20,0.847,0.081,0.458,0.000
27,Sigmoid,64,1,0.500,20,0.845,0.064,0.352,0.000
28,TanH,128,1,0.100,20,0.843,0.059,0.326,0.100
29,Sigmoid,128,1,0.400,20,0.842,0.067,0.370,0.000
30,TanH,128,1,0.400,20,0.841,0.364,2.063,0.500
31,TanH,64,1,0.100,20,0.841,0.058,0.309,0.000
32,Sigmoid,128,1,0.400,20,0.840,0.068,0.379,0.100
33,TanH,128,1,0.100,20,0.839,0.058,0.318,0.000
34,Sigmoid,128,1,0.400,20,0.835,0.066,0.364,0.010
35,TanH,128,1,0.100,20,0.834,0.057,0.313,0.010
36,TanH,32,1,0.100,20,0.832,0.062,0.321,0.000
37,Sigmoid,64,1,0.400,20,0.832,0.061,0.331,0.000
38,TanH,32,2,0.400,20,0.832,0.067,0.354,0.000
39,Sigmoid,128,1,0.400,20,0.826,0.066,0.366,0.000
40,Sigmoid,64,1,0.300,20,0.824,0.063,0.330,0.000
41,Sigmoid,32,1,0.400,20,0.823,0.063,0.333,0.000
42,Sigmoid,256,1,0.300,20,0.821,0.081,0.443,0.000
43,TanH,64,2,0.300,20,0.821,0.106,0.579,0.000
44,ReLU,32,1,0.200,20,0.820,3.188,18.502,0.000
45,Sigmoid,64,1,0.400,20,0.819,0.062,0.336,0.000
46,Sigmoid,32,1,0.400,20,0.817,0.066,0.348,0.000
47,Sigmoid,128,1,0.300,20,0.816,0.069,0.368,0.000
48,Sigmoid,128,1,0.300,20,0.811,0.065,0.353,0.100
49,Sigmoid,64,1,0.300,20,0.807,0.065,0.340,0.000
50,Sigmoid,32,1,0.300,20,0.807,0.069,0.353,0.000
51,Sigmoid,32,1,0.300,20,0.805,0.067,0.345,0.000
52,Sigmoid,128,1,0.300,20,0.804,0.070,0.373,0.000
53,ReLU,32,1,0.300,20,0.802,1.787,10.544,0.000
54,TanH,256,1,0.300,20,0.801,0.777,4.196,0.500
55,Sigmoid,256,1,0.200,20,0.800,0.075,0.392,0.000
56,Sigmoid,128,1,0.100,20,0.798,0.068,0.346,0.500
57,ReLU,128,1,0.200,20,0.798,3.065,17.695,0.000
58,TanH,64,2,0.400,20,0.796,0.178,0.981,0.000
59,Sigmoid,128,1,0.200,20,0.789,0.071,0.357,0.000
60,ReLU,256,1,0.300,20,0.786,2.210,12.988,0.000
61,Sigmoid,128,1,0.300,20,0.785,0.066,0.353,0.010
62,ReLU,64,1,0.300,20,0.782,2.496,14.676,0.000
63,Sigmoid,64,1,0.200,20,0.775,0.082,0.411,0.000
64,Sigmoid,32,1,0.200,20,0.774,0.079,0.375,0.000
65,TanH,32,2,0.100,20,0.773,0.081,0.380,0.000
66,ReLU,64,1,0.200,20,0.765,2.217,12.998,0.000
67,ReLU,128,1,0.300,20,0.750,2.667,15.538,0.000
68,ReLU,128,1,0.500,20,0.749,2.107,12.378,0.000
69,TanH,128,2,0.300,20,0.748,0.256,1.374,0.000
70,Sigmoid,128,1,0.100,20,0.748,0.084,0.381,0.010
71,ReLU,256,1,0.400,20,0.746,2.527,14.627,0.000
72,Sigmoid,128,1,0.100,20,0.740,0.087,0.407,0.100
73,Sigmoid,128,1,0.100,20,0.733,0.091,0.419,0.000
74,Sigmoid,64,1,0.100,20,0.722,0.097,0.444,0.000
75,Sigmoid,32,1,0.100,20,0.716,0.100,0.443,0.000
76,TanH,32,3,0.300,20,0.704,0.098,0.440,0.000
77,ReLU,32,1,0.500,20,0.694,1.902,11.239,0.000
78,ReLU,64,1,0.400,20,0.682,1.765,10.282,0.000
79,ReLU,128,1,0.400,20,0.676,2.351,13.764,0.000
80,TanH,32,3,0.400,20,0.670,0.106,0.485,0.000
81,TanH,64,3,0.300,20,0.665,0.141,0.655,0.000
82,ReLU,256,1,0.500,20,0.654,3.511,19.957,0.000
83,ReLU,32,1,0.400,20,0.640,1.215,7.202,0.000
84,TanH,128,2,0.400,20,0.637,0.371,1.905,0.000
85,TanH,64,3,0.400,20,0.609,0.206,0.997,0.000
86,TanH,64,2,0.100,20,0.580,0.139,0.546,0.000
87,Sigmoid,32,2,0.500,20,0.575,0.141,0.567,0.000
88,TanH,256,1,0.400,20,0.529,3.390,14.945,0.500
89,Sigmoid,32,2,0.400,20,0.477,0.152,0.578,0.000
90,Sigmoid,64,2,0.500,20,0.446,0.175,0.672,0.000
91,Sigmoid,32,2,0.400,20,0.436,0.169,0.604,0.000
92,ReLU,64,1,0.500,20,0.427,0.717,4.025,0.000
93,TanH,128,3,0.400,20,0.402,0.492,2.095,0.000
94,Sigmoid,64,2,0.400,20,0.393,0.190,0.667,0.000
95,Sigmoid,32,2,0.300,20,0.378,0.179,0.607,0.000
96,Sigmoid,64,2,0.400,20,0.365,0.191,0.671,0.000
97,Sigmoid,32,2,0.300,20,0.354,0.185,0.621,0.000
98,TanH,128,3,0.300,20,0.335,0.257,0.955,0.000
99,Sigmoid,64,2,0.300,20,0.328,0.196,0.655,0.000
100,Sigmoid,128,2,0.400,20,0.313,0.349,1.283,0.000
101,Sigmoid,64,2,0.300,20,0.311,0.200,0.657,0.000
102,Sigmoid,32,2,0.200,20,0.289,0.199,0.637,0.000
103,TanH,128,2,0.100,20,0.281,0.204,0.660,0.000
104,Sigmoid,128,2,0.400,20,0.278,0.360,1.324,0.000
105,Sigmoid,128,2,0.300,20,0.264,0.250,0.859,0.000
106,Sigmoid,128,2,0.200,20,0.262,0.217,0.704,0.000
107,Sigmoid,128,2,0.300,20,0.260,0.255,0.878,0.000
108,Sigmoid,64,2,0.200,20,0.250,0.212,0.670,0.000
109,Sigmoid,256,2,0.200,20,0.236,0.462,1.623,0.000
110,Sigmoid,64,2,0.100,20,0.228,0.213,0.662,0.000
111,TanH,32,3,0.100,20,0.226,0.212,0.657,0.000
112,Sigmoid,32,2,0.100,20,0.202,0.214,0.660,0.000
113,TanH,64,3,0.100,20,0.200,0.220,0.674,0.000
114,Sigmoid,128,2,0.100,20,0.197,0.220,0.678,0.000
115,TanH,128,3,0.100,20,0.189,0.225,0.692,0.000
116,Sigmoid,128,2,0.500,20,0.154,0.968,3.313,0.000
117,ReLU,32,2,0.300,20,0.115,0.231,0.696,0.000
118,Sigmoid,256,2,0.300,20,0.115,1.973,6.337,0.000
